549,106,1165,134,1162,191,546,163,KARTU KELUARGA
170,189,349,199,347,220,169,211,Nama Kepala Keluarga
168,215,229,219,228,241,167,237,Alamat
167,240,228,244,227,265,165,262,RT/RW
166,268,290,274,289,294,165,287,Desa/Kelurahan
1056,241,1144,246,1143,264,1055,260,Kecamatan
1054,264,1181,271,1179,292,1053,286,Kabupaten/Kota
1053,286,1133,290,1132,311,1052,307,Kode Pos
1052,308,1118,312,1117,333,1051,329,Provinsi
260,315,381,322,380,343,259,337,Nama Lengkap
555,328,592,330,591,352,554,350,NIK
662,324,715,327,714,348,661,345,Jenis
913,337,980,340,979,361,911,358,Tanggal
1005,351,1066,354,1065,376,1003,373,Agama
1144,358,1241,364,1240,380,1143,375,Pendidikan
1372,368,1505,373,1504,394,1371,389,Jenis Pekerjaan
104,310,133,312,132,330,103,328,No.
110,363,121,364,121,378,109,377,1
108,386,120,387,120,401,108,400,2
107,407,119,407,118,421,107,421,3
106,429,118,430,117,444,105,443,4
105,450,117,451,116,465,104,464,5
104,472,116,473,115,487,103,486,6
103,494,115,495,114,509,102,508,7
102,516,114,517,113,531,101,530,8
101,538,113,539,112,553,101,552,9
100,560,116,561,116,575,99,574,10
766,342,873,347,872,364,765,358,Tempat Lahir
652,347,721,350,720,367,651,363,Kelamin
919,358,970,361,969,379,918,377,Lahir
88,609,119,611,118,628,87,626,No.
97,663,106,664,105,678,97,677,1
96,685,105,686,105,699,95,699,2
95,708,104,708,104,722,94,722,3
94,730,103,730,102,744,93,744,4
92,752,102,752,101,766,92,766,5
91,773,101,774,100,788,90,787,6
90,795,100,796,99,810,89,809,7
89,817,99,818,98,832,88,831,8
88,839,97,840,97,854,87,853,9
86,861,101,862,100,875,85,875,10
273,605,416,613,415,634,272,625,Status Hubungan
694,625,846,633,845,653,693,645,Dokumen Imigrasi
1186,648,1323,655,1322,675,1185,668,Nama Orang Tua
165,602,219,605,218,622,164,619,Status
438,624,583,632,582,653,437,645,Kewarganegaraan
1075,667,1121,669,1120,689,1074,687,Ayah
1393,680,1423,682,1422,702,1392,700,Ibu
144,622,239,627,238,644,143,639,Perkawinan
281,628,409,635,408,653,280,646,Dalam Keluarga
634,648,725,653,725,669,633,664,No. Paspor
786,653,926,659,925,679,785,673,No. KITAS/KITAP
137,923,307,932,306,952,136,943,Dikeluarkan Tanggal
1157,983,1449,993,1449,1018,1156,1007,A DINAS KEPENUDUDUKAN DAN
695,971,877,980,876,1001,694,992,KEPALA KELUARGA
136,949,215,953,214,970,135,966,LEMBAR
695,971,877,980,876,1001,694,992,KEPALA KELUARGA
346,959,500,967,499,986,345,978,I.Kepala Keluarga
1199,1008,1342,1013,1340,1035,1198,1029,CATATAN SIPIL
341,979,391,982,390,1005,340,1002,II.RT
337,1008,494,1016,493,1036,336,1028,III.Desa/Kelurahan
337,1032,456,1039,455,1057,336,1051,IV.Kecamatan
706,1085,863,1092,863,1113,705,1107,Tanda Tangan/Cap Jempol
1113,1081,1421,1094,1420,1120,1113,1107,Drs. PANCARIA SEMBIRING, MDA
1165,1108,1387,1118,1386,1137,1164,1128,NIP.19601027198703 1 006
1326,128,1547,139,1546,168,1324,154,K 8824636281741
623,171,1026,192,1024,228,621,206,No. 8824632208596813
365,228,610,241,610,258,364,245,JALAN JEND. SUDIRMAN NO. 3
363,253,409,256,408,273,362,270,00/11
362,279,468,284,467,301,361,296,PAGARALAM
