143,274,377,285,372,393,138,382,NIK
134,452,324,461,322,513,132,503,Nama
142,533,642,558,639,617,139,592,Tempat/Tgl Lahir
135,618,544,638,541,687,133,667,Jenis Kelamin
1468,677,1803,694,1801,752,1465,735,Gol Darah
119,693,350,704,347,765,116,754,Alamat
279,782,516,794,513,856,276,844,RT/RW
273,861,571,882,566,942,269,922,Kel/Des
271,948,631,966,628,1024,268,1007,Kecamatan
99,1029,329,1029,329,1093,99,1093,Agama
99,1107,672,1135,670,1193,96,1165,Status Perkawinan
93,1184,403,1206,397,1270,89,1248,Pekerjaan
86,1269,658,1300,654,1361,82,1330,Kewarganegaraan
85,1347,549,1380,545,1441,81,1408,Berlaku Hingga
800,90,2285,163,2282,230,797,157,PROVINSI KALIMANTAN TENGAH
1043,196,2033,245,2030,311,1040,263,KABUPATEN SABANG
772,314,2018,375,2014,459,768,398,0476065764048489
835,490,1460,521,1457,570,833,539,MUSTOFA MANSUR
831,572,1505,605,1503,663,828,630,TERNATE, 05-01-2011
827,650,1153,666,1151,713,825,697,LAKI-LAKI
1903,701,1950,703,1948,750,1901,748,B
823,736,1617,775,1615,824,821,785,JL. PHH. MUSTOFA NO. 5
819,818,1053,829,1051,877,817,866,668/391
815,898,1090,911,1088,960,813,946,LANGSA
811,979,1179,998,1176,1046,809,1028,PASURUAN
807,1059,1009,1069,1007,1118,805,1108,ISLAM
803,1145,1023,1156,1021,1203,801,1192,KAWIN
799,1223,1127,1239,1125,1286,797,1270,PERAWAT
795,1305,950,1313,948,1360,793,1352,WNA
791,1387,1292,1412,1289,1460,789,1436,SEUMUR HIDUP
2176,1331,2638,1354,2636,1403,2173,1380,PEKALONGAN
2237,1420,2569,1436,2567,1484,2235,1468,24-12-2008
