515,114,1155,110,1155,169,515,174,KARTU KELUARGA
127,221,313,221,313,244,127,244,Nama Kepala Keluarga
127,249,190,249,190,272,127,272,Alamat
126,275,191,275,191,297,126,297,RT/RW
127,303,256,303,256,323,127,323,Desa/Kelurahan
1048,227,1140,227,1140,246,1048,246,Kecamatan
1048,251,1179,251,1179,273,1048,273,Kabupaten/Kota
1048,273,1131,273,1131,295,1048,295,Kode Pos
1048,297,1117,297,1117,319,1048,319,Provinsi
228,347,353,347,353,369,228,369,Nama Lengkap
274,379,306,379,306,401,274,401,(1)
534,344,572,344,572,368,534,368,NIK
538,379,570,379,570,400,538,400,(2)
645,335,699,335,699,357,645,357,Jenis
654,379,689,379,689,399,654,399,(3)
794,378,824,378,824,398,794,398,(4)
925,378,956,378,956,396,925,396,(5)
1017,377,1046,377,1046,396,1017,396,(6)
1183,376,1212,376,1212,394,1183,394,(7)
1438,375,1467,375,1467,392,1438,392,(8)
905,334,976,334,976,356,905,356,Tanggal
1001,344,1065,344,1065,366,1001,366,Agama
1146,344,1247,344,1247,361,1146,361,Pendidikan
1383,341,1521,339,1521,361,1383,363,Jenis Pekerjaan
65,350,95,350,95,369,65,369,No.
74,405,86,405,86,420,74,420,1
74,429,86,429,86,443,74,443,2
74,450,86,450,86,465,74,465,3
74,474,86,474,86,488,74,488,4
74,496,86,496,86,510,74,510,5
74,518,86,518,86,533,74,533,6
74,541,87,541,87,556,74,556,7
74,564,87,564,87,579,74,579,8
75,587,87,587,87,601,75,601,9
75,610,92,610,92,624,75,624,10
753,347,865,347,865,364,753,364,Tempat Lahir
635,359,707,359,707,376,635,376,Kelamin
913,356,966,356,966,375,913,375,Lahir
65,661,97,661,97,679,65,679,No.
78,717,87,717,87,731,78,731,1
77,740,87,740,87,754,77,754,2
77,763,87,763,87,778,77,778,3
77,786,87,786,87,800,77,800,4
77,809,87,809,87,823,77,823,5
77,831,87,831,87,846,77,846,6
77,854,87,854,87,869,77,869,7
77,877,87,877,87,892,77,892,8
77,900,87,900,87,914,77,914,9
76,923,92,923,92,937,76,937,10
257,646,406,647,406,669,256,667,Status Hubungan
694,645,852,645,852,666,694,666,Dokumen Imigrasi
1205,642,1348,642,1348,662,1205,662,Nama Orang Tua
144,650,200,650,200,667,144,667,Status
158,693,187,693,187,712,158,712,(9)
313,692,351,692,351,711,313,711,(10)
484,692,524,692,524,710,484,710,(11)
661,691,700,691,700,709,661,709,(12)
846,690,884,690,884,708,846,708,(13)
1096,689,1136,689,1136,708,1096,708,(14)
1417,688,1458,688,1458,707,1417,707,(15)
428,658,579,658,579,680,428,680,Kewarganegaraan
1092,667,1139,667,1139,688,1092,688,Ayah
1422,664,1453,664,1453,685,1422,685,Ibu
123,672,223,672,223,689,123,689,Perkawinan
266,671,399,671,399,689,266,689,Dalam Keluarga
633,672,728,672,728,689,633,689,No. Paspor
791,669,937,667,937,688,792,690,No. KITAS/KITAP
133,984,310,984,310,1005,133,1005,Dikeluarkan Tanggal
1194,990,1497,985,1498,1011,1194,1016,A DINAS KEPENUDUDUKAN DAN
714,1003,903,1003,903,1025,714,1025,KEPALA KELUARGA
133,1011,215,1011,215,1028,133,1028,LEMBAR
714,1003,903,1003,903,1025,714,1025,KEPALA KELUARGA
351,1010,512,1010,512,1030,351,1030,I.Kepala Keluarga
1239,1014,1386,1012,1386,1035,1239,1036,CATATAN SIPIL
348,1031,399,1031,399,1055,348,1055,II.RT
345,1061,508,1061,508,1082,345,1082,III.Desa/Kelurahan
344,1087,470,1087,470,1106,344,1106,IV.Kecamatan
731,1121,895,1120,895,1142,732,1143,Tanda Tangan/Cap Jempol
1154,1095,1473,1091,1473,1118,1154,1122,Drs. PANCARIA SEMBIRING, MDA
1208,1120,1439,1118,1439,1138,1208,1140,NIP.19601027198703 1 006
1322,96,1553,96,1553,118,1322,122,K 5787403781045
596,178,1013,180,1013,209,596,215,No. 5787401150009535
333,253,557,253,557,266,333,266,GG. H.J MAEMUNAH NO. 46
333,279,349,279,349,293,333,293,-/-
333,306,417,306,417,319,333,319,SALATIGA
1198,231,1277,231,1277,244,1198,244,CIREBON
1198,255,1345,255,1345,268,1198,268,PANGKALPINANG
1198,279,1247,279,1247,292,1198,292,72868
1198,300,1384,300,1384,313,1198,313,KALIMANTAN TENGAH
333,226,521,226,521,242,333,242,INDAH MUSTOFA, M.M.
740,1103,954,1103,954,1120,740,1120,INDAH MUSTOFA, M.M.
103,408,254,408,254,421,103,421,INDAH MUSTOFA, M.M.
494,405,619,405,619,416,494,416,5787400111853644
629,405,691,405,691,416,629,416,LAKI-LAKI
720,405,812,405,812,416,720,416,PAYAKUMBUH
906,404,974,404,974,414,906,414,01-11-1985
983,403,1062,403,1062,414,983,414,KONGHUCU
1087,402,1154,402,1154,413,1087,413,STRATA III
1314,401,1362,401,1362,412,1314,412,DOSEN
105,720,197,720,197,730,105,730,BELUM KAWIN
248,719,376,719,376,729,248,729,KEPALA KELUARGA
428,718,455,718,455,728,428,728,WNI
340,988,341,988,341,989,340,989,
