86,271,320,273,319,381,85,379,NIK
85,449,275,451,274,503,84,501,Nama
96,530,596,535,595,594,95,589,Tempat/Tgl Lahir
92,615,501,619,501,668,92,664,Jenis Kelamin
1426,621,1762,624,1762,682,1426,679,Gol Darah
79,691,310,693,310,754,79,752,Alamat
243,774,480,776,479,838,242,836,RT/RW
240,852,538,861,535,922,239,913,Kel/Des
241,940,601,943,601,1002,241,999,Kecamatan
73,1027,303,1018,305,1082,75,1091,Agama
76,1105,650,1110,649,1168,75,1163,Status Perkawinan
73,1183,383,1192,381,1257,72,1247,Pekerjaan
69,1268,642,1276,641,1337,68,1329,Kewarganegaraan
72,1346,537,1360,535,1421,70,1407,Berlaku Hingga
801,61,2156,73,2155,140,800,128,PROVINSI SULAWESI TENGAH
916,156,2039,166,2039,233,916,223,KABUPATEN MEULABOH
716,286,1964,296,1963,380,715,370,6444640137786196
787,459,1475,465,1475,514,786,508,JASMIN PUDJIASTUTI
785,541,1617,548,1616,607,784,600,YOGYAKARTA, 01-09-1980
785,619,1111,622,1111,669,785,666,LAKI-LAKI
1862,654,1885,654,1885,674,1862,674,-
784,705,1742,714,1742,763,784,754,GG. KUTISARI SELATAN NO. 9
784,787,1018,789,1017,837,783,835,682/806
783,867,1206,871,1206,920,783,916,PAGARALAM
782,949,1241,953,1241,1001,782,997,BANJARBARU
782,1029,1017,1031,1016,1079,781,1077,BUDHA
781,1115,1250,1119,1249,1167,780,1163,BELUM KAWIN
780,1193,1210,1197,1210,1246,780,1242,KONSTRUKSI
779,1275,934,1277,934,1324,779,1322,WNA
779,1357,1111,1360,1110,1408,778,1405,21-11-1976
2309,1247,2475,1248,2474,1295,2308,1294,BIMA
2225,1332,2557,1335,2557,1383,2225,1380,27-03-2000
